comparison,false_positive_rate,true_positive_rate,auc
same_recording_split_halves,0.026548673,0.28947368,0.88157418
same_recording_split_halves,0.026703928,0.28947368,0.88157418
same_recording_split_halves,0.026859183,0.28947368,0.88157418
same_recording_split_halves,0.027014439,0.28947368,0.88157418
same_recording_split_halves,0.027169694,0.28947368,0.88157418
same_recording_split_halves,0.02732495,0.28947368,0.88157418
same_recording_split_halves,0.027480205,0.28947368,0.88157418
same_recording_split_halves,0.02763546,0.28947368,0.88157418
same_recording_split_halves,0.027790716,0.28947368,0.88157418
same_recording_split_halves,0.027945971,0.28947368,0.88157418
same_recording_split_halves,0.028101227,0.28947368,0.88157418
same_recording_split_halves,0.028256482,0.28947368,0.88157418
same_recording_split_halves,0.028411737,0.28947368,0.88157418
same_recording_split_halves,0.028566993,0.28947368,0.88157418
same_recording_split_halves,0.028722248,0.28947368,0.88157418
same_recording_split_halves,0.028877503,0.28947368,0.88157418
same_recording_split_halves,0.029032759,0.28947368,0.88157418
same_recording_split_halves,0.029188014,0.28947368,0.88157418
same_recording_split_halves,0.02934327,0.28947368,0.88157418
same_recording_split_halves,0.029498525,0.28947368,0.88157418
same_recording_split_halves,0.02965378,0.28947368,0.88157418
same_recording_split_halves,0.029809036,0.28947368,0.88157418
same_recording_split_halves,0.029809036,0.29824561,0.88157418
same_recording_split_halves,0.029964291,0.29824561,0.88157418
same_recording_split_halves,0.030119547,0.29824561,0.88157418
same_recording_split_halves,0.030274802,0.29824561,0.88157418
same_recording_split_halves,0.030274802,0.30701754,0.88157418
same_recording_split_halves,0.030274802,0.31578947,0.88157418
same_recording_split_halves,0.030430057,0.31578947,0.88157418
same_recording_split_halves,0.030430057,0.3245614,0.88157418
same_recording_split_halves,0.030585313,0.3245614,0.88157418
same_recording_split_halves,0.030740568,0.3245614,0.88157418
same_recording_split_halves,0.030895824,0.3245614,0.88157418
same_recording_split_halves,0.031051079,0.3245614,0.88157418
same_recording_split_halves,0.031051079,0.33333333,0.88157418
same_recording_split_halves,0.031051079,0.34210526,0.88157418
same_recording_split_halves,0.031206334,0.34210526,0.88157418
same_recording_split_halves,0.03136159,0.34210526,0.88157418
same_recording_split_halves,0.031516845,0.34210526,0.88157418
same_recording_split_halves,0.031672101,0.34210526,0.88157418
same_recording_split_halves,0.031827356,0.34210526,0.88157418
same_recording_split_halves,0.031982611,0.34210526,0.88157418
same_recording_split_halves,0.032137867,0.34210526,0.88157418
same_recording_split_halves,0.032293122,0.34210526,0.88157418
same_recording_split_halves,0.032448378,0.34210526,0.88157418
same_recording_split_halves,0.032603633,0.34210526,0.88157418
same_recording_split_halves,0.032758888,0.34210526,0.88157418
same_recording_split_halves,0.032914144,0.34210526,0.88157418
same_recording_split_halves,0.032914144,0.35087719,0.88157418
same_recording_split_halves,0.033069399,0.35087719,0.88157418
same_recording_split_halves,0.033224655,0.35087719,0.88157418
same_recording_split_halves,0.03337991,0.35087719,0.88157418
same_recording_split_halves,0.033535165,0.35087719,0.88157418
same_recording_split_halves,0.033690421,0.35087719,0.88157418
same_recording_split_halves,0.033845676,0.35087719,0.88157418
same_recording_split_halves,0.034000932,0.35087719,0.88157418
same_recording_split_halves,0.034000932,0.35964912,0.88157418
same_recording_split_halves,0.034156187,0.35964912,0.88157418
same_recording_split_halves,0.034311442,0.35964912,0.88157418
same_recording_split_halves,0.034466698,0.35964912,0.88157418
